,Kingdom,Phylum,Class,Order,Family,Genus
ASV3500,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA
ASV3501,Bacteria,Myxococcota,bacteriap25,NA,NA,NA
ASV3502,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella
ASV3503,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA
ASV3504,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes
ASV3505,Bacteria,Chloroflexi,KD4-96,NA,NA,NA
ASV3506,Bacteria,Sumerlaeota,Sumerlaeia,Sumerlaeales,Sumerlaeaceae,Sumerlaea
ASV3507,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA
ASV3508,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA
ASV3509,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
ASV3510,Bacteria,Myxococcota,bacteriap25,NA,NA,NA
ASV3511,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV3512,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
ASV3513,Bacteria,Chloroflexi,KD4-96,NA,NA,NA
ASV3514,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV3515,Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia
ASV3516,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
ASV3517,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA
ASV3518,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV3519,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium
ASV3520,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,NA,NA
ASV3521,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter
ASV3522,Bacteria,Chloroflexi,KD4-96,NA,NA,NA
ASV3523,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA
ASV3524,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium
ASV3525,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV3526,Bacteria,Firmicutes,Desulfotomaculia,Ammonifexales,NA,NA
ASV3527,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
ASV3528,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
ASV3529,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA
ASV3530,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
ASV3531,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV3532,Bacteria,Myxococcota,bacteriap25,NA,NA,NA
ASV3533,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter
ASV3534,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA
ASV3535,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella
ASV3536,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus
ASV3537,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys
ASV3538,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV3539,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes
ASV3540,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA
ASV3541,Bacteria,RCP2-54,NA,NA,NA,NA
ASV3542,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV3543,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,NA
ASV3544,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
ASV3545,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA
ASV3546,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
ASV3547,Bacteria,Chloroflexi,KD4-96,NA,NA,NA
ASV3548,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
ASV3549,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA
ASV3550,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter
ASV3551,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA
ASV3552,Bacteria,Acidobacteriota,Blastocatellia,DS-100,NA,NA
ASV3553,Bacteria,Chloroflexi,KD4-96,NA,NA,NA
ASV3554,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV3555,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA
ASV3556,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
ASV3557,Bacteria,Myxococcota,bacteriap25,NA,NA,NA
ASV3558,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA
ASV3559,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
ASV3560,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA
ASV3561,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
ASV3562,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
ASV3563,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,NA,NA
ASV3564,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter
